modalities,accuracy,balanced_accuracy,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,macro_f1,precision_weighted,recall_weighted,weighted_f1
video,0.6842105263157895,0.5928571428571429,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.5928571428571429,0.5928571428571429,0.5928571428571429,0.6842105263157895,0.6842105263157895,0.6842105263157895
audio,0.7368421052631579,0.5,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.3684210526315789,0.5,0.42424242424242425,0.5429362880886427,0.7368421052631579,0.6251993620414673
text,0.8947368421052632,0.8642857142857143,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8642857142857143,0.8642857142857143,0.8642857142857143,0.8947368421052632,0.8947368421052632,0.8947368421052632
video+audio,0.6842105263157895,0.5928571428571429,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.5928571428571429,0.5928571428571429,0.5928571428571429,0.6842105263157895,0.6842105263157895,0.6842105263157895
video+text,0.7368421052631579,0.6928571428571428,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.6730769230769231,0.6928571428571428,0.6801346801346801,0.7550607287449393,0.7368421052631579,0.7439305334042176
audio+text,0.8947368421052632,0.8642857142857143,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8642857142857143,0.8642857142857143,0.8642857142857143,0.8947368421052632,0.8947368421052632,0.8947368421052632
video+audio+text,0.7894736842105263,0.7285714285714285,0.7894736842105263,0.7894736842105263,0.7894736842105263,0.7285714285714285,0.7285714285714285,0.7285714285714285,0.7894736842105263,0.7894736842105263,0.7894736842105263
