modalities,accuracy,balanced_accuracy,precision_micro,recall_micro,f1_micro,precision_macro,recall_macro,macro_f1,precision_weighted,recall_weighted,weighted_f1
video,0.6140350877192982,0.6012554112554113,0.6140350877192982,0.6140350877192982,0.6140350877192982,0.6008116883116883,0.6012554112554113,0.5947543760587239,0.6234759879496722,0.6140350877192982,0.612423086702263
audio,0.40701754385964917,0.5,0.40701754385964917,0.40701754385964917,0.40701754385964917,0.20350877192982458,0.5,0.28805128205128205,0.16912212304640745,0.40701754385964917,0.23793252361673414
text,0.7584795321637426,0.7719264069264068,0.7584795321637426,0.7584795321637426,0.7584795321637426,0.7704256854256853,0.7719264069264068,0.7539783750148537,0.7933478899268371,0.7584795321637426,0.7587440566791759
video+audio,0.604093567251462,0.5839646464646464,0.604093567251462,0.604093567251462,0.604093567251462,0.6057539682539682,0.5839646464646464,0.5692434476577699,0.6255639097744361,0.604093567251462,0.5906236704621414
video+text,0.7584795321637426,0.7583910533910533,0.7584795321637426,0.7584795321637426,0.7584795321637426,0.7932905982905982,0.7583910533910533,0.745389822595705,0.805038236617184,0.7584795321637426,0.7531603928120955
audio+text,0.7701754385964913,0.7812950937950939,0.7701754385964913,0.7701754385964913,0.7701754385964913,0.7899425574425574,0.7812950937950939,0.7642538653670703,0.8106250182565973,0.7701754385964913,0.7695903671566613
video+audio+text,0.7368421052631579,0.7530375180375181,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7603787878787879,0.7530375180375181,0.7321295886775763,0.7827547403863193,0.7368421052631579,0.7350965649417661
